,Year,Jurisdiction,Gender,Average scale score
324,2015,Florida,Male,224.0
325,2015,Florida,Female,231.0
326,2015,Georgia,Male,219.0
327,2015,Georgia,Female,225.0
328,2015,Hawaii,Male,211.0
329,2015,Hawaii,Female,220.0
330,2015,Idaho,Male,218.0
331,2015,Idaho,Female,225.0
332,2015,Illinois,Male,219.0
333,2015,Illinois,Female,225.0
334,2015,Indiana,Male,224.0
335,2015,Indiana,Female,230.0
336,2015,Iowa,Male,221.0
337,2015,Iowa,Female,226.0
338,2015,Kansas,Male,217.0
339,2015,Kansas,Female,225.0
340,2015,Kentucky,Male,226.0
341,2015,Kentucky,Female,230.0
342,2015,Louisiana,Male,211.0
343,2015,Louisiana,Female,222.0
344,2015,Maine,Male,220.0
345,2015,Maine,Female,228.0
346,2015,Maryland,Male,218.0
347,2015,Maryland,Female,228.0
348,2015,Massachusetts,Male,233.0
349,2015,Massachusetts,Female,238.0
350,2015,Michigan,Male,214.0
351,2015,Michigan,Female,219.0
352,2015,Minnesota,Male,218.0
353,2015,Minnesota,Female,229.0
354,2015,Mississippi,Male,212.0
355,2015,Mississippi,Female,217.0
356,2015,Missouri,Male,219.0
357,2015,Missouri,Female,226.0
358,2015,Montana,Male,221.0
359,2015,Montana,Female,229.0
360,2015,Nebraska,Male,222.0
361,2015,Nebraska,Female,231.0
362,2015,Nevada,Male,213.0
363,2015,Nevada,Female,216.0
364,2015,New Hampshire,Male,227.0
365,2015,New Hampshire,Female,238.0
366,2015,New Jersey,Male,226.0
367,2015,New Jersey,Female,233.0
368,2015,New Mexico,Male,202.0
369,2015,New Mexico,Female,213.0
370,2015,New York,Male,219.0
371,2015,New York,Female,226.0
372,2015,North Carolina,Male,222.0
373,2015,North Carolina,Female,230.0
374,2015,North Dakota,Male,224.0
375,2015,North Dakota,Female,226.0
376,2015,Ohio,Male,222.0
377,2015,Ohio,Female,228.0
378,2015,Oklahoma,Male,219.0
379,2015,Oklahoma,Female,225.0
380,2015,Oregon,Male,217.0
381,2015,Oregon,Female,224.0
382,2015,Pennsylvania,Male,223.0
383,2015,Pennsylvania,Female,231.0
384,2015,Rhode Island,Male,223.0
385,2015,Rhode Island,Female,228.0
386,2015,South Carolina,Male,213.0
387,2015,South Carolina,Female,223.0
388,2015,South Dakota,Male,218.0
389,2015,South Dakota,Female,223.0
390,2015,Tennessee,Male,214.0
391,2015,Tennessee,Female,224.0
392,2015,Texas,Male,215.0
393,2015,Texas,Female,221.0
394,2015,Utah,Male,222.0
395,2015,Utah,Female,230.0
396,2015,Vermont,Male,226.0
397,2015,Vermont,Female,234.0
398,2015,Virginia,Male,227.0
399,2015,Virginia,Female,232.0
400,2015,Washington,Male,219.0
401,2015,Washington,Female,233.0
402,2015,West Virginia,Male,212.0
403,2015,West Virginia,Female,220.0
404,2015,Wisconsin,Male,220.0
405,2015,Wisconsin,Female,226.0
406,2015,Wyoming,Male,226.0
407,2015,Wyoming,Female,231.0
408,2013,National,Male,219.0
409,2013,National,Female,225.0
410,2013,Alabama,Male,215.0
411,2013,Alabama,Female,223.0
412,2013,Alaska,Male,206.0
413,2013,Alaska,Female,212.0
414,2013,Arizona,Male,210.0
415,2013,Arizona,Female,216.0
416,2013,Arkansas,Male,215.0
417,2013,Arkansas,Female,223.0
418,2013,California,Male,210.0
419,2013,California,Female,216.0
420,2013,Colorado,Male,223.0
421,2013,Colorado,Female,231.0
422,2013,Connecticut,Male,227.0
423,2013,Connecticut,Female,232.0
424,2013,Delaware,Male,224.0
425,2013,Delaware,Female,228.0
426,2013,Florida,Male,224.0
427,2013,Florida,Female,231.0
428,2013,Georgia,Male,219.0
429,2013,Georgia,Female,225.0
430,2013,Hawaii,Male,209.0
431,2013,Hawaii,Female,221.0
432,2013,Idaho,Male,217.0
433,2013,Idaho,Female,222.0
434,2013,Illinois,Male,215.0
435,2013,Illinois,Female,222.0
436,2013,Indiana,Male,222.0
437,2013,Indiana,Female,229.0
438,2013,Iowa,Male,221.0
439,2013,Iowa,Female,227.0
440,2013,Kansas,Male,220.0
441,2013,Kansas,Female,227.0
442,2013,Kentucky,Male,221.0
443,2013,Kentucky,Female,228.0
444,2013,Louisiana,Male,207.0
445,2013,Louisiana,Female,215.0
446,2013,Maine,Male,221.0
447,2013,Maine,Female,228.0
448,2013,Maryland,Male,228.0
449,2013,Maryland,Female,236.0
450,2013,Massachusetts,Male,229.0
451,2013,Massachusetts,Female,235.0
452,2013,Michigan,Male,214.0
453,2013,Michigan,Female,221.0
454,2013,Minnesota,Male,223.0
455,2013,Minnesota,Female,231.0
456,2013,Mississippi,Male,207.0
457,2013,Mississippi,Female,210.0
458,2013,Missouri,Male,219.0
459,2013,Missouri,Female,226.0
460,2013,Montana,Male,220.0
461,2013,Montana,Female,226.0
462,2013,Nebraska,Male,221.0
463,2013,Nebraska,Female,225.0
464,2013,Nevada,Male,210.0
465,2013,Nevada,Female,218.0
466,2013,New Hampshire,Male,229.0
467,2013,New Hampshire,Female,235.0
468,2013,New Jersey,Male,226.0
469,2013,New Jersey,Female,231.0
470,2013,New Mexico,Male,202.0
471,2013,New Mexico,Female,210.0
472,2013,New York,Male,221.0
473,2013,New York,Female,227.0
474,2013,North Carolina,Male,219.0
475,2013,North Carolina,Female,226.0
476,2013,North Dakota,Male,220.0
477,2013,North Dakota,Female,228.0
478,2013,Ohio,Male,221.0
479,2013,Ohio,Female,227.0
480,2013,Oklahoma,Male,213.0
481,2013,Oklahoma,Female,221.0
482,2013,Oregon,Male,215.0
483,2013,Oregon,Female,224.0
484,2013,Pennsylvania,Male,221.0
485,2013,Pennsylvania,Female,231.0
486,2013,Rhode Island,Male,218.0
487,2013,Rhode Island,Female,228.0
488,2013,South Carolina,Male,209.0
489,2013,South Carolina,Female,218.0
490,2013,South Dakota,Male,214.0
491,2013,South Dakota,Female,222.0
492,2013,Tennessee,Male,216.0
493,2013,Tennessee,Female,223.0
494,2013,Texas,Male,215.0
495,2013,Texas,Female,219.0
496,2013,Utah,Male,219.0
497,2013,Utah,Female,227.0
498,2013,Vermont,Male,223.0
499,2013,Vermont,Female,233.0
500,2013,Virginia,Male,225.0
501,2013,Virginia,Female,232.0
502,2013,Washington,Male,222.0
503,2013,Washington,Female,228.0
504,2013,West Virginia,Male,211.0
505,2013,West Virginia,Female,219.0
506,2013,Wisconsin,Male,216.0
507,2013,Wisconsin,Female,225.0
508,2013,Wyoming,Male,223.0
509,2013,Wyoming,Female,229.0
510,2011,National,Male,218.0
511,2011,National,Female,225.0
512,2011,Alabama,Male,218.0
513,2011,Alabama,Female,223.0
514,2011,Alaska,Male,204.0
515,2011,Alaska,Female,212.0
516,2011,Arizona,Male,209.0
517,2011,Arizona,Female,216.0
518,2011,Arkansas,Male,214.0
519,2011,Arkansas,Female,219.0
520,2011,California,Male,209.0
521,2011,California,Female,214.0
522,2011,Colorado,Male,219.0
523,2011,Colorado,Female,228.0
524,2011,Connecticut,Male,224.0
525,2011,Connecticut,Female,232.0
526,2011,Delaware,Male,223.0
527,2011,Delaware,Female,228.0
528,2011,Florida,Male,221.0
529,2011,Florida,Female,228.0
530,2011,Georgia,Male,216.0
531,2011,Georgia,Female,226.0
532,2011,Hawaii,Male,208.0
533,2011,Hawaii,Female,219.0
534,2011,Idaho,Male,218.0
535,2011,Idaho,Female,224.0
536,2011,Illinois,Male,217.0
537,2011,Illinois,Female,222.0
538,2011,Indiana,Male,217.0
539,2011,Indiana,Female,225.0
540,2011,Iowa,Male,218.0
541,2011,Iowa,Female,224.0
542,2011,Kansas,Male,219.0
543,2011,Kansas,Female,228.0
544,2011,Kentucky,Male,223.0
545,2011,Kentucky,Female,227.0
546,2011,Louisiana,Male,206.0
547,2011,Louisiana,Female,215.0
548,2011,Maine,Male,219.0
549,2011,Maine,Female,225.0
550,2011,Maryland,Male,227.0
551,2011,Maryland,Female,234.0
552,2011,Massachusetts,Male,234.0
553,2011,Massachusetts,Female,239.0
554,2011,Michigan,Male,216.0
555,2011,Michigan,Female,222.0
556,2011,Minnesota,Male,219.0
557,2011,Minnesota,Female,225.0
558,2011,Mississippi,Male,204.0
559,2011,Mississippi,Female,215.0
560,2011,Missouri,Male,215.0
561,2011,Missouri,Female,225.0
562,2011,Montana,Male,222.0
563,2011,Montana,Female,229.0
564,2011,Nebraska,Male,220.0
565,2011,Nebraska,Female,226.0
566,2011,Nevada,Male,210.0
567,2011,Nevada,Female,216.0
568,2011,New Hampshire,Male,226.0
569,2011,New Hampshire,Female,235.0
570,2011,New Jersey,Male,229.0
571,2011,New Jersey,Female,233.0
572,2011,New Mexico,Male,205.0
573,2011,New Mexico,Female,211.0
574,2011,New York,Male,219.0
575,2011,New York,Female,226.0
576,2011,North Carolina,Male,217.0
577,2011,North Carolina,Female,225.0
578,2011,North Dakota,Male,223.0
579,2011,North Dakota,Female,228.0
580,2011,Ohio,Male,222.0
581,2011,Ohio,Female,226.0
582,2011,Oklahoma,Male,213.0
583,2011,Oklahoma,Female,219.0
584,2011,Oregon,Male,212.0
585,2011,Oregon,Female,221.0
586,2011,Pennsylvania,Male,223.0
587,2011,Pennsylvania,Female,232.0
588,2011,Rhode Island,Male,218.0
589,2011,Rhode Island,Female,227.0
590,2011,South Carolina,Male,210.0
591,2011,South Carolina,Female,220.0
592,2011,South Dakota,Male,217.0
593,2011,South Dakota,Female,223.0
594,2011,Tennessee,Male,211.0
595,2011,Tennessee,Female,219.0
596,2011,Texas,Male,216.0
597,2011,Texas,Female,220.0
598,2011,Utah,Male,218.0
599,2011,Utah,Female,223.0
600,2011,Vermont,Male,224.0
601,2011,Vermont,Female,230.0
602,2011,Virginia,Male,223.0
603,2011,Virginia,Female,230.0
604,2011,Washington,Male,216.0
605,2011,Washington,Female,226.0
606,2011,West Virginia,Male,210.0
607,2011,West Virginia,Female,219.0
608,2011,Wisconsin,Male,219.0
609,2011,Wisconsin,Female,224.0
610,2011,Wyoming,Male,221.0
611,2011,Wyoming,Female,228.0
612,2009,National,Male,218.0
613,2009,National,Female,224.0
614,2009,Alabama,Male,212.0
615,2009,Alabama,Female,221.0
616,2009,Alaska,Male,207.0
617,2009,Alaska,Female,216.0
618,2009,Arizona,Male,207.0
619,2009,Arizona,Female,213.0
620,2009,Arkansas,Male,211.0
621,2009,Arkansas,Female,222.0
622,2009,California,Male,207.0
623,2009,California,Female,213.0
624,2009,Colorado,Male,222.0
625,2009,Colorado,Female,229.0
626,2009,Connecticut,Male,225.0
627,2009,Connecticut,Female,234.0
628,2009,Delaware,Male,223.0
629,2009,Delaware,Female,228.0
630,2009,Florida,Male,223.0
631,2009,Florida,Female,229.0
632,2009,Georgia,Male,214.0
633,2009,Georgia,Female,221.0
634,2009,Hawaii,Male,205.0
635,2009,Hawaii,Female,217.0
636,2009,Idaho,Male,217.0
637,2009,Idaho,Female,226.0
638,2009,Illinois,Male,215.0
639,2009,Illinois,Female,224.0
640,2009,Indiana,Male,218.0
641,2009,Indiana,Female,227.0
642,2009,Iowa,Male,217.0
643,2009,Iowa,Female,226.0
644,2009,Kansas,Male,222.0
645,2009,Kansas,Female,226.0
646,2009,Kentucky,Male,222.0
647,2009,Kentucky,Female,229.0
648,2009,Louisiana,Male,203.0
649,2009,Louisiana,Female,212.0
650,2009,Maine,Male,220.0
651,2009,Maine,Female,228.0
652,2009,Maryland,Male,223.0
653,2009,Maryland,Female,229.0
654,2009,Massachusetts,Male,231.0
655,2009,Massachusetts,Female,236.0
656,2009,Michigan,Male,214.0
657,2009,Michigan,Female,222.0
658,2009,Minnesota,Male,220.0
659,2009,Minnesota,Female,227.0
660,2009,Mississippi,Male,208.0
