,Year,Jurisdiction,Gender,Average scale score
333,2015,Illinois,Female,237.0
334,2015,Indiana,Male,248.0
335,2015,Indiana,Female,247.0
336,2015,Iowa,Male,244.0
337,2015,Iowa,Female,243.0
338,2015,Kansas,Male,242.0
339,2015,Kansas,Female,240.0
340,2015,Kentucky,Male,243.0
341,2015,Kentucky,Female,240.0
342,2015,Louisiana,Male,235.0
343,2015,Louisiana,Female,234.0
344,2015,Maine,Male,244.0
345,2015,Maine,Female,241.0
346,2015,Maryland,Male,240.0
347,2015,Maryland,Female,239.0
348,2015,Massachusetts,Male,253.0
349,2015,Massachusetts,Female,248.0
350,2015,Michigan,Male,237.0
351,2015,Michigan,Female,235.0
352,2015,Minnesota,Male,250.0
353,2015,Minnesota,Female,249.0
354,2015,Mississippi,Male,234.0
355,2015,Mississippi,Female,234.0
356,2015,Missouri,Male,241.0
357,2015,Missouri,Female,237.0
358,2015,Montana,Male,243.0
359,2015,Montana,Female,239.0
360,2015,Nebraska,Male,244.0
361,2015,Nebraska,Female,244.0
362,2015,Nevada,Male,234.0
363,2015,Nevada,Female,233.0
364,2015,New Hampshire,Male,250.0
365,2015,New Hampshire,Female,248.0
366,2015,New Jersey,Male,247.0
367,2015,New Jersey,Female,244.0
368,2015,New Mexico,Male,232.0
369,2015,New Mexico,Female,230.0
370,2015,New York,Male,238.0
371,2015,New York,Female,236.0
372,2015,North Carolina,Male,245.0
373,2015,North Carolina,Female,242.0
374,2015,North Dakota,Male,246.0
375,2015,North Dakota,Female,243.0
376,2015,Ohio,Male,244.0
377,2015,Ohio,Female,243.0
378,2015,Oklahoma,Male,242.0
379,2015,Oklahoma,Female,238.0
380,2015,Oregon,Male,239.0
381,2015,Oregon,Female,237.0
382,2015,Pennsylvania,Male,244.0
383,2015,Pennsylvania,Female,242.0
384,2015,Rhode Island,Male,238.0
385,2015,Rhode Island,Female,238.0
386,2015,South Carolina,Male,238.0
387,2015,South Carolina,Female,237.0
388,2015,South Dakota,Male,240.0
389,2015,South Dakota,Female,239.0
