Year,Jurisdiction,Gender,Average scale score
2015,Hawaii,Female,238.0
2015,Idaho,Male,239.0
2015,Idaho,Female,238.0
2015,Illinois,Male,238.0
2015,Illinois,Female,237.0
2015,Indiana,Male,248.0
2015,Indiana,Female,247.0
2015,Iowa,Male,244.0
2015,Iowa,Female,243.0
2015,Kansas,Male,242.0
2015,Kansas,Female,240.0
2015,Kentucky,Male,243.0
2015,Kentucky,Female,240.0
2015,Louisiana,Male,235.0
2015,Louisiana,Female,234.0
2015,Maine,Male,244.0
2015,Maine,Female,241.0
2015,Maryland,Male,240.0
2015,Maryland,Female,239.0
2015,Massachusetts,Male,253.0
2015,Massachusetts,Female,248.0
2015,Michigan,Male,237.0
2015,Michigan,Female,235.0
2015,Minnesota,Male,250.0
2015,Minnesota,Female,249.0
2015,Mississippi,Male,234.0
2015,Mississippi,Female,234.0
2015,Missouri,Male,241.0
2015,Missouri,Female,237.0
2015,Montana,Male,243.0
2015,Montana,Female,239.0
2015,Nebraska,Male,244.0
2015,Nebraska,Female,244.0
2015,Nevada,Male,234.0
2015,Nevada,Female,233.0
2015,New Hampshire,Male,250.0
2015,New Hampshire,Female,248.0
2015,New Jersey,Male,247.0
2015,New Jersey,Female,244.0
2015,New Mexico,Male,232.0
2015,New Mexico,Female,230.0
2015,New York,Male,238.0
2015,New York,Female,236.0
2015,North Carolina,Male,245.0
2015,North Carolina,Female,242.0
2015,North Dakota,Male,246.0
2015,North Dakota,Female,243.0
2015,Ohio,Male,244.0
2015,Ohio,Female,243.0
2015,Oklahoma,Male,242.0
2015,Oklahoma,Female,238.0
2015,Oregon,Male,239.0
2015,Oregon,Female,237.0
2015,Pennsylvania,Male,244.0
2015,Pennsylvania,Female,242.0
2015,Rhode Island,Male,238.0
2015,Rhode Island,Female,238.0
2015,South Carolina,Male,238.0
2015,South Carolina,Female,237.0
2015,South Dakota,Male,240.0
2015,South Dakota,Female,239.0
2015,Tennessee,Male,241.0
2015,Tennessee,Female,240.0
2015,Texas,Male,245.0
2015,Texas,Female,243.0
2015,Utah,Male,244.0
2015,Utah,Female,241.0
2015,Vermont,Male,243.0
2015,Vermont,Female,244.0
2015,Virginia,Male,247.0
2015,Virginia,Female,246.0
2015,Washington,Male,245.0
2015,Washington,Female,245.0
2015,West Virginia,Male,235.0
2015,West Virginia,Female,236.0
2015,Wisconsin,Male,244.0
2015,Wisconsin,Female,243.0
2015,Wyoming,Male,248.0
2015,Wyoming,Female,246.0
2013,National,Male,242.0
2013,National,Female,241.0
2013,Alabama,Male,233.0
2013,Alabama,Female,232.0
2013,Alaska,Male,237.0
2013,Alaska,Female,236.0
2013,Arizona,Male,240.0
2013,Arizona,Female,240.0
2013,Arkansas,Male,239.0
2013,Arkansas,Female,240.0
2013,California,Male,235.0
2013,California,Female,232.0
2013,Colorado,Male,248.0
2013,Colorado,Female,246.0
2013,Connecticut,Male,244.0
2013,Connecticut,Female,243.0
2013,Delaware,Male,243.0
2013,Delaware,Female,243.0
2013,Florida,Male,242.0
2013,Florida,Female,242.0
2013,Georgia,Male,241.0
2013,Georgia,Female,239.0
2013,Hawaii,Male,242.0
2013,Hawaii,Female,244.0
2013,Idaho,Male,243.0
2013,Idaho,Female,238.0
2013,Illinois,Male,239.0
2013,Illinois,Female,239.0
2013,Indiana,Male,249.0
2013,Indiana,Female,248.0
2013,Iowa,Male,247.0
2013,Iowa,Female,244.0
2013,Kansas,Male,247.0
2013,Kansas,Female,245.0
2013,Kentucky,Male,242.0
2013,Kentucky,Female,241.0
2013,Louisiana,Male,233.0
2013,Louisiana,Female,230.0
2013,Maine,Male,246.0
2013,Maine,Female,246.0
2013,Maryland,Male,246.0
2013,Maryland,Female,244.0
2013,Massachusetts,Male,253.0
2013,Massachusetts,Female,253.0
2013,Michigan,Male,237.0
2013,Michigan,Female,236.0
2013,Minnesota,Male,254.0
2013,Minnesota,Female,253.0
2013,Mississippi,Male,231.0
2013,Mississippi,Female,232.0
2013,Missouri,Male,240.0
2013,Missouri,Female,239.0
2013,Montana,Male,245.0
2013,Montana,Female,242.0
2013,Nebraska,Male,245.0
2013,Nebraska,Female,241.0
2013,Nevada,Male,237.0
2013,Nevada,Female,235.0
2013,New Hampshire,Male,255.0
2013,New Hampshire,Female,251.0
2013,New Jersey,Male,248.0
2013,New Jersey,Female,246.0
2013,New Mexico,Male,234.0
2013,New Mexico,Female,232.0
2013,New York,Male,241.0
2013,New York,Female,240.0
2013,North Carolina,Male,245.0
2013,North Carolina,Female,245.0
2013,North Dakota,Male,247.0
2013,North Dakota,Female,246.0
2013,Ohio,Male,246.0
2013,Ohio,Female,245.0
2013,Oklahoma,Male,240.0
2013,Oklahoma,Female,238.0
2013,Oregon,Male,241.0
2013,Oregon,Female,239.0
2013,Pennsylvania,Male,244.0
2013,Pennsylvania,Female,244.0
2013,Rhode Island,Male,242.0
2013,Rhode Island,Female,241.0
2013,South Carolina,Male,236.0
2013,South Carolina,Female,238.0
2013,South Dakota,Male,241.0
2013,South Dakota,Female,241.0
2013,Tennessee,Male,240.0
2013,Tennessee,Female,240.0
2013,Texas,Male,242.0
2013,Texas,Female,242.0
2013,Utah,Male,244.0
2013,Utah,Female,241.0
2013,Vermont,Male,249.0
2013,Vermont,Female,247.0
2013,Virginia,Male,247.0
2013,Virginia,Female,246.0
2013,Washington,Male,247.0
2013,Washington,Female,246.0
2013,West Virginia,Male,238.0
2013,West Virginia,Female,237.0
2013,Wisconsin,Male,245.0
2013,Wisconsin,Female,244.0
2013,Wyoming,Male,247.0
2013,Wyoming,Female,246.0
2011,National,Male,241.0
2011,National,Female,240.0
2011,Alabama,Male,231.0
2011,Alabama,Female,232.0
2011,Alaska,Male,237.0
2011,Alaska,Female,235.0
2011,Arizona,Male,237.0
2011,Arizona,Female,234.0
2011,Arkansas,Male,238.0
2011,Arkansas,Female,238.0
2011,California,Male,235.0
2011,California,Female,234.0
2011,Colorado,Male,246.0
2011,Colorado,Female,243.0
2011,Connecticut,Male,243.0
2011,Connecticut,Female,241.0
2011,Delaware,Male,241.0
2011,Delaware,Female,239.0
2011,Florida,Male,240.0
2011,Florida,Female,240.0
2011,Georgia,Male,238.0
2011,Georgia,Female,239.0
2011,Hawaii,Male,238.0
2011,Hawaii,Female,240.0
2011,Idaho,Male,241.0
2011,Idaho,Female,239.0
2011,Illinois,Male,240.0
2011,Illinois,Female,238.0
2011,Indiana,Male,245.0
2011,Indiana,Female,242.0
2011,Iowa,Male,244.0
2011,Iowa,Female,242.0
2011,Kansas,Male,247.0
2011,Kansas,Female,246.0
2011,Kentucky,Male,242.0
2011,Kentucky,Female,240.0
2011,Louisiana,Male,231.0
2011,Louisiana,Female,231.0
2011,Maine,Male,246.0
2011,Maine,Female,243.0
2011,Maryland,Male,248.0
2011,Maryland,Female,246.0
2011,Massachusetts,Male,255.0
2011,Massachusetts,Female,252.0
2011,Michigan,Male,238.0
2011,Michigan,Female,235.0
2011,Minnesota,Male,250.0
2011,Minnesota,Female,248.0
2011,Mississippi,Male,229.0
2011,Mississippi,Female,231.0
2011,Missouri,Male,240.0
2011,Missouri,Female,241.0
2011,Montana,Male,245.0
2011,Montana,Female,242.0
2011,Nebraska,Male,241.0
2011,Nebraska,Female,239.0
2011,Nevada,Male,238.0
2011,Nevada,Female,236.0
2011,New Hampshire,Male,252.0
2011,New Hampshire,Female,251.0
2011,New Jersey,Male,249.0
2011,New Jersey,Female,247.0
2011,New Mexico,Male,234.0
2011,New Mexico,Female,232.0
2011,New York,Male,238.0
2011,New York,Female,237.0
2011,North Carolina,Male,245.0
2011,North Carolina,Female,244.0
2011,North Dakota,Male,246.0
2011,North Dakota,Female,244.0
2011,Ohio,Male,245.0
2011,Ohio,Female,243.0
2011,Oklahoma,Male,237.0
2011,Oklahoma,Female,238.0
2011,Oregon,Male,237.0
2011,Oregon,Female,237.0
2011,Pennsylvania,Male,247.0
2011,Pennsylvania,Female,245.0
2011,Rhode Island,Male,242.0
2011,Rhode Island,Female,242.0
2011,South Carolina,Male,237.0
2011,South Carolina,Female,238.0
2011,South Dakota,Male,242.0
2011,South Dakota,Female,240.0
2011,Tennessee,Male,233.0
2011,Tennessee,Female,232.0
2011,Texas,Male,241.0
2011,Texas,Female,241.0
2011,Utah,Male,244.0
2011,Utah,Female,241.0
2011,Vermont,Male,248.0
2011,Vermont,Female,245.0
2011,Virginia,Male,247.0
2011,Virginia,Female,244.0
2011,Washington,Male,244.0
2011,Washington,Female,242.0
2011,West Virginia,Male,235.0
2011,West Virginia,Female,234.0
2011,Wisconsin,Male,245.0
2011,Wisconsin,Female,244.0
2011,Wyoming,Male,245.0
2011,Wyoming,Female,243.0
2009,National,Male,241.0
2009,National,Female,239.0
2009,Alabama,Male,228.0
2009,Alabama,Female,228.0
2009,Alaska,Male,238.0
2009,Alaska,Female,236.0
2009,Arizona,Male,230.0
2009,Arizona,Female,230.0
2009,Arkansas,Male,239.0
2009,Arkansas,Female,236.0
2009,California,Male,233.0
2009,California,Female,231.0
2009,Colorado,Male,244.0
2009,Colorado,Female,242.0
2009,Connecticut,Male,246.0
2009,Connecticut,Female,243.0
2009,Delaware,Male,241.0
2009,Delaware,Female,238.0
2009,Florida,Male,243.0
2009,Florida,Female,241.0
2009,Georgia,Male,237.0
2009,Georgia,Female,236.0
2009,Hawaii,Male,235.0
2009,Hawaii,Female,236.0
2009,Idaho,Male,242.0
2009,Idaho,Female,240.0
2009,Illinois,Male,240.0
2009,Illinois,Female,237.0
2009,Indiana,Male,243.0
2009,Indiana,Female,242.0
2009,Iowa,Male,243.0
2009,Iowa,Female,242.0
2009,Kansas,Male,246.0
2009,Kansas,Female,244.0
2009,Kentucky,Male,240.0
2009,Kentucky,Female,238.0
2009,Louisiana,Male,230.0
2009,Louisiana,Female,229.0
2009,Maine,Male,247.0
2009,Maine,Female,242.0
2009,Maryland,Male,244.0
2009,Maryland,Female,243.0
2009,Massachusetts,Male,253.0
2009,Massachusetts,Female,251.0
2009,Michigan,Male,238.0
2009,Michigan,Female,235.0
2009,Minnesota,Male,251.0
2009,Minnesota,Female,248.0
2009,Mississippi,Male,227.0
2009,Mississippi,Female,228.0
2009,Missouri,Male,241.0
2009,Missouri,Female,240.0
2009,Montana,Male,247.0
2009,Montana,Female,242.0
2009,Nebraska,Male,239.0
2009,Nebraska,Female,239.0
2009,Nevada,Male,236.0
2009,Nevada,Female,234.0
2009,New Hampshire,Male,252.0
2009,New Hampshire,Female,250.0
2009,New Jersey,Male,248.0
2009,New Jersey,Female,245.0
2009,New Mexico,Male,231.0
2009,New Mexico,Female,229.0
2009,New York,Male,242.0
2009,New York,Female,239.0
2009,North Carolina,Male,244.0
2009,North Carolina,Female,244.0
2009,North Dakota,Male,247.0
2009,North Dakota,Female,244.0
2009,Ohio,Male,245.0
2009,Ohio,Female,242.0
2009,Oklahoma,Male,238.0
2009,Oklahoma,Female,236.0
2009,Oregon,Male,240.0
2009,Oregon,Female,236.0
2009,Pennsylvania,Male,245.0
2009,Pennsylvania,Female,242.0
2009,Rhode Island,Male,240.0
2009,Rhode Island,Female,237.0
2009,South Carolina,Male,236.0
2009,South Carolina,Female,235.0
2009,South Dakota,Male,243.0
2009,South Dakota,Female,241.0
2009,Tennessee,Male,232.0
2009,Tennessee,Female,231.0
2009,Texas,Male,241.0
2009,Texas,Female,240.0
2009,Utah,Male,241.0
2009,Utah,Female,239.0
2009,Vermont,Male,249.0
2009,Vermont,Female,247.0
2009,Virginia,Male,245.0
2009,Virginia,Female,241.0
2009,Washington,Male,242.0
2009,Washington,Female,242.0
2009,West Virginia,Male,234.0
2009,West Virginia,Female,232.0
2009,Wisconsin,Male,245.0
2009,Wisconsin,Female,242.0
2009,Wyoming,Male,243.0
2009,Wyoming,Female,241.0
2007,National,Male,241.0
2007,National,Female,239.0
2007,Alabama,Male,229.0
2007,Alabama,Female,228.0
2007,Alaska,Male,238.0
