Year,Jurisdiction,Gender,Average scale score
2017,Wyoming,Male,224
2017,Wyoming,Female,230
2015,National,Male,219
2015,National,Female,226
2015,Alabama,Male,213
2015,Alabama,Female,221
2015,Alaska,Male,210
2015,Alaska,Female,216
2015,Arizona,Male,211
2015,Arizona,Female,220
2015,Arkansas,Male,213
2015,Arkansas,Female,223
2015,California,Male,210
2015,California,Female,216
2015,Colorado,Male,221
2015,Colorado,Female,228
2015,Connecticut,Male,225
2015,Connecticut,Female,233
2015,Delaware,Male,221
2015,Delaware,Female,226
2015,District of Columbia,Male,206
2015,District of Columbia,Female,219
2015,DoDEA,Male,230
2015,DoDEA,Female,237
2015,Florida,Male,224
2015,Florida,Female,231
2015,Georgia,Male,219
2015,Georgia,Female,225
2015,Hawaii,Male,211
2015,Hawaii,Female,220
2015,Idaho,Male,218
2015,Idaho,Female,225
2015,Illinois,Male,219
2015,Illinois,Female,225
2015,Indiana,Male,224
2015,Indiana,Female,230
2015,Iowa,Male,221
2015,Iowa,Female,226
2015,Kansas,Male,217
2015,Kansas,Female,225
2015,Kentucky,Male,226
2015,Kentucky,Female,230
2015,Louisiana,Male,211
2015,Louisiana,Female,222
2015,Maine,Male,220
2015,Maine,Female,228
2015,Maryland,Male,218
2015,Maryland,Female,228
2015,Massachusetts,Male,233
2015,Massachusetts,Female,238
2015,Michigan,Male,214
2015,Michigan,Female,219
2015,Minnesota,Male,218
2015,Minnesota,Female,229
2015,Mississippi,Male,212
2015,Mississippi,Female,217
2015,Missouri,Male,219
2015,Missouri,Female,226
2015,Montana,Male,221
2015,Montana,Female,229
2015,Nebraska,Male,222
2015,Nebraska,Female,231
2015,Nevada,Male,213
2015,Nevada,Female,216
2015,New Hampshire,Male,227
2015,New Hampshire,Female,238
2015,New Jersey,Male,226
2015,New Jersey,Female,233
2015,New Mexico,Male,202
2015,New Mexico,Female,213
2015,New York,Male,219
2015,New York,Female,226
2015,North Carolina,Male,222
2015,North Carolina,Female,230
2015,North Dakota,Male,224
2015,North Dakota,Female,226
2015,Ohio,Male,222
2015,Ohio,Female,228
2015,Oklahoma,Male,219
2015,Oklahoma,Female,225
2015,Oregon,Male,217
2015,Oregon,Female,224
2015,Pennsylvania,Male,223
2015,Pennsylvania,Female,231
2015,Rhode Island,Male,223
2015,Rhode Island,Female,228
2015,South Carolina,Male,213
2015,South Carolina,Female,223
2015,South Dakota,Male,218
2015,South Dakota,Female,223
2015,Tennessee,Male,214
2015,Tennessee,Female,224
2015,Texas,Male,215
2015,Texas,Female,221
2015,Utah,Male,222
2015,Utah,Female,230
2015,Vermont,Male,226
2015,Vermont,Female,234
2015,Virginia,Male,227
2015,Virginia,Female,232
2015,Washington,Male,219
2015,Washington,Female,233
2015,West Virginia,Male,212
2015,West Virginia,Female,220
2015,Wisconsin,Male,220
2015,Wisconsin,Female,226
2015,Wyoming,Male,226
2015,Wyoming,Female,231
2013,National,Male,219
2013,National,Female,225
2013,Alabama,Male,215
2013,Alabama,Female,223
2013,Alaska,Male,206
2013,Alaska,Female,212
2013,Arizona,Male,210
2013,Arizona,Female,216
2013,Arkansas,Male,215
2013,Arkansas,Female,223
2013,California,Male,210
2013,California,Female,216
2013,Colorado,Male,223
2013,Colorado,Female,231
2013,Connecticut,Male,227
2013,Connecticut,Female,232
2013,Delaware,Male,224
2013,Delaware,Female,228
2013,District of Columbia,Male,200
2013,District of Columbia,Female,211
2013,DoDEA,Male,229
2013,DoDEA,Female,235
2013,Florida,Male,224
2013,Florida,Female,231
2013,Georgia,Male,219
2013,Georgia,Female,225
2013,Hawaii,Male,209
2013,Hawaii,Female,221
2013,Idaho,Male,217
2013,Idaho,Female,222
2013,Illinois,Male,215
2013,Illinois,Female,222
2013,Indiana,Male,222
2013,Indiana,Female,229
2013,Iowa,Male,221
2013,Iowa,Female,227
2013,Kansas,Male,220
2013,Kansas,Female,227
2013,Kentucky,Male,221
2013,Kentucky,Female,228
2013,Louisiana,Male,207
2013,Louisiana,Female,215
2013,Maine,Male,221
2013,Maine,Female,228
2013,Maryland,Male,228
2013,Maryland,Female,236
2013,Massachusetts,Male,229
2013,Massachusetts,Female,235
2013,Michigan,Male,214
2013,Michigan,Female,221
2013,Minnesota,Male,223
2013,Minnesota,Female,231
2013,Mississippi,Male,207
2013,Mississippi,Female,210
2013,Missouri,Male,219
2013,Missouri,Female,226
2013,Montana,Male,220
2013,Montana,Female,226
2013,Nebraska,Male,221
2013,Nebraska,Female,225
2013,Nevada,Male,210
2013,Nevada,Female,218
2013,New Hampshire,Male,229
2013,New Hampshire,Female,235
2013,New Jersey,Male,226
2013,New Jersey,Female,231
2013,New Mexico,Male,202
2013,New Mexico,Female,210
2013,New York,Male,221
2013,New York,Female,227
2013,North Carolina,Male,219
2013,North Carolina,Female,226
2013,North Dakota,Male,220
2013,North Dakota,Female,228
2013,Ohio,Male,221
2013,Ohio,Female,227
2013,Oklahoma,Male,213
2013,Oklahoma,Female,221
2013,Oregon,Male,215
2013,Oregon,Female,224
2013,Pennsylvania,Male,221
2013,Pennsylvania,Female,231
2013,Rhode Island,Male,218
2013,Rhode Island,Female,228
2013,South Carolina,Male,209
2013,South Carolina,Female,218
2013,South Dakota,Male,214
2013,South Dakota,Female,222
2013,Tennessee,Male,216
2013,Tennessee,Female,223
2013,Texas,Male,215
2013,Texas,Female,219
2013,Utah,Male,219
2013,Utah,Female,227
2013,Vermont,Male,223
2013,Vermont,Female,233
2013,Virginia,Male,225
2013,Virginia,Female,232
2013,Washington,Male,222
2013,Washington,Female,228
2013,West Virginia,Male,211
